,date,-9,-7,-5,-3,-1,1,3,5,7,9,11
60,9/29/2017,190821.8511,2358325.538,3739787.621,1320776.961,1172348.202,1514767.909,772380.5705,1800868.783,871965.6897,2882171.67,0
61,9/30/2017,173077.5601,2350951.807,3751744.553,1341725.768,1185695.073,1511381.644,774036.2181,1786209.896,874427.065,2882315.211,0
62,10/1/2017,364139.3841,2293001.016,3658046.995,1343741.755,1185751.563,1508578.581,772618.9423,1760954.741,874135.031,2882721.788,0
63,10/2/2017,213312.9532,2479885.167,3619675.159,1347886.328,1193651.799,1508497.468,769447.5898,1759875.923,872787.173,2884132.735,0
64,10/3/2017,224449.2307,2480535.164,3618103.653,1352316.92,1205415.287,1506439.391,765573.5506,1738578.212,873308.7422,2884607.144,0
65,10/4/2017,364287.8201,2384379.246,3583053.241,1357072.52,1207173.588,1506796.562,762938.76,1735447.923,873940.3582,2884837.277,0
66,10/5/2017,316231.4294,2421915.073,3672809.329,1358849.732,1209347.736,1500391.627,759431.7224,1678219.516,872382.0129,2884461.617,0
67,10/6/2017,257686.0024,2472767.61,3669988.198,1376080.263,1218683.981,1500070.033,751700.6203,1668420.793,873841.0413,2885226.254,0
68,10/7/2017,226955.2099,2488005.516,3675392.411,1388021.845,1222049.039,1499239.636,750239.8617,1666983.687,874206.2083,2885133.882,0
69,10/8/2017,192330.1472,2550515.229,3672467.252,1401507.996,1219676.897,1486901.787,735651.9127,1656546.714,875902.0934,2886064.766,0
70,10/9/2017,315306.4888,2508437.195,3634610.617,1411253.029,1216496.144,1481882.743,734437.46,1613150.999,875703.5964,2887424.023,0
71,10/10/2017,204575.7942,2636032.404,3625553.507,1417785.103,1217614.14,1477661.5,734457.4191,1603148.012,874644.1636,2888630.252,0
72,10/11/2017,300685.7831,2557475.249,3608378.935,1428252.686,1214640.127,1478830.218,734590.2219,1595936.848,871159.0922,2891403.136,0
73,10/12/2017,326466.1304,2489597.308,3657657.855,1436482.661,1210682.784,1476828.086,731660.5769,1597056.433,869462.5688,2892407.893,0
74,10/13/2017,293006.4332,2540101.266,3655765.143,1443301.466,1200362.386,1465101.122,744270.7395,1595883.84,869497.8651,2892624.535,0
75,10/14/2017,232473.0563,2651062.995,3607074.018,1437101.27,1209450.665,1461948.402,743351.1914,1594831.014,871324.1412,2892473.043,0
76,10/15/2017,163066.6918,2695949.627,3610993,1460641.941,1210518.555,1461431.113,743134.4297,1592424.585,867903.6736,2895551.18,0
77,10/16/2017,252463.6741,2629550.321,3594766.419,1456746.457,1222690.242,1458761.516,741120.8829,1591593.49,858111.7217,2896510.072,0
78,10/17/2017,369766.5246,2580895.011,3547167.814,1456983.461,1218235.315,1459472.744,740437.3079,1578857.492,863507.744,2887378.881,0
79,10/18/2017,252902.862,2703146.473,3527812.304,1475278.303,1199339.694,1476830.847,739913.5147,1577192.44,863629.9276,2887843.43,0
80,10/19/2017,170865.3648,2770704.146,3548988.879,1470724.704,1212201.698,1476369.927,740047.7834,1573682.296,865395.7718,2876346.725,0
81,10/20/2017,187901.6774,2732097.665,3583940.525,1484021.95,1210660.098,1452518.713,740732.7375,1573248.44,865936.5712,2875768.919,0
82,10/21/2017,146180.9213,2785853.695,3560141.615,1498602.32,1205526.523,1457254.82,739905.9313,1569904.443,867904.4227,2876490.104,0
83,10/22/2017,167546.4669,2730334.887,3590289.304,1509148.355,1208565.482,1456229.69,739765.2572,1557711.022,870288.4128,2878060.918,0
84,10/23/2017,233303.7783,2640103.429,3614851.264,1518226.851,1207003.901,1452159.263,739075.3764,1554991.384,870027.3499,2879547.198,0
85,10/24/2017,189030.9028,2664449.213,3620866.504,1534304.156,1210969.326,1451196.08,738330.3274,1553926.452,868071.3534,2880120.481,0
86,10/25/2017,224657.1188,2615304.919,3607134.497,1577095.934,1210394.354,1446533.075,738802.2428,1481043.354,935100.6337,2877348.667,0
87,10/26/2017,146457.2419,2701854.436,3583780.315,1590560.637,1217617.466,1448149.569,738316.479,1481369.788,932622.1373,2877674.227,0
88,10/27/2017,177361.3192,2653035.837,3551233.378,1650481.582,1201882.896,1469565.341,738280.8226,1480400.068,932695.2847,2878065.765,0
89,10/28/2017,229674.1883,2573261.208,3551132.043,1701225.499,1205604.59,1463153.356,737723.8849,1475404.331,933086.0243,2878412.171,0
90,10/29/2017,563514.449,2414198.354,3235454.191,1837405.982,1210702.619,1462529.17,740034.1725,1473610.964,933363.1802,2879026.714,0
91,10/30/2017,321593.7961,2671535.073,3071167.458,1991280.555,1211540.026,1458062.194,742855.9666,1471598.371,931439.8933,2879678.961,0
92,10/31/2017,215890.1481,2568128.442,3128482.561,2141083.948,1217684.857,1454994.62,742607.1894,1471183.241,931303.1407,2880356.648,0
93,11/1/2017,256286.2634,2540052.816,3129929.977,2132711.644,1216544.174,1452563.571,742204.6955,1470043.698,931414.9943,2880962.962,0
94,11/2/2017,307059.4412,2514186.299,3115370.244,2106860.219,1236469.175,1448912.847,743220.5835,1468522.581,931685.4067,2881440.499,0
