,date,newborn,dead,WALE,-9,-7,-5,-3,-1,1,3,5,7,9,11
50,2017/9/19,1443306.011,1439981.011,16.53746882,1307898.056,82332.97581,17449.20429,14585.75045,1098.708667,2188.619438,1635.555667,11151.8565,1250.528325,389.7564568,0
51,2017/9/20,540167.3439,537067.3439,28.18093678,355695.1077,140408.3364,15896.53523,8919.527256,1017.776993,11555.03692,2040.317507,674.9827522,566.7203408,293.0027745,0
52,2017/9/21,552059.3186,551634.3186,13.17527135,426334.0251,84865.19891,25108.44026,1552.968601,11413.51796,678.6022521,271.0925157,1168.189919,120.6581646,121.6249416,0
53,2017/9/22,1210913.292,1205788.292,12.13214731,1078918.458,51535.20538,60578.30511,4409.35456,1035.916201,3218.730548,431.8143221,3648.338505,230.2473907,1781.921977,0
54,2017/9/23,463230.033,458830.033,30.53843241,352966.4326,77208.04076,6282.871018,2887.483335,12541.46902,398.3464216,437.733213,5940.284305,4.36239979,163.01,0
55,2017/9/24,382726.1928,379426.1928,46.99864035,288866.4614,60734.31883,13305.09778,840.1527507,399.7859896,857.9459422,10780.01737,3347.618213,42.30282964,252.49162,0
56,2017/9/25,653213.8076,649688.8076,27.05661439,382827.9283,209801.9192,39984.75267,7693.318495,2190.101708,1237.355304,457.3536588,3285.285648,273.3035104,1937.489115,0
57,2017/9/26,475943.3109,472030.8109,37.98787898,257630.1969,52454.6689,118104.0755,34787.24883,2852.737713,3572.315578,269.4945273,1991.973334,111.1539207,256.9456575,0
58,2017/9/27,976754.8875,973304.8875,20.87422423,755859.7251,161992.4944,40746.40064,1573.641544,1849.501369,2735.559548,277.6525176,472.2285484,7560.972027,236.7117579,0
59,2017/9/28,870468.8433,869556.3433,9.257196074,727444.045,84747.90721,33866.27525,14365.99374,6639.066631,1274.097295,331.1699298,521.1220827,261.2152539,105.45095,0
60,2017/9/29,564554.0431,564391.5431,9.409807792,422939.6532,119687.1041,13462.77241,3063.017667,1276.710273,2736.837167,282.768022,633.8435324,286.7083702,22.12823019,0
61,2017/9/30,665800.0852,658450.0852,34.06080892,551780.1515,75305.91127,9431.350207,4858.488071,1746.042578,2071.858164,541.2720852,10220.99208,1361.245981,1132.773351,0
62,2017/10/1,967683.1079,955558.1079,54.78240493,644349.3683,131299.4968,130476.9841,14130.06877,3582.831184,2996.640586,1478.853371,25916.52229,1100.912737,226.4297133,0
63,2017/10/2,701137.6983,695675.1983,17.26603954,543056.3986,61975.22829,72285.70493,10297.15858,1739.375761,1065.34708,2261.801568,1862.871043,1053.757027,77.55539231,0
64,2017/10/3,548509.4607,548334.4607,65.08501824,377188.3279,119257.6852,21089.85855,1922.262336,1062.418454,3267.715468,1710.428046,22439.33601,289.2295878,107.199049,0
65,2017/10/4,1169693.163,1159093.163,14.00416949,866719.3665,172582.8968,103706.1102,3805.968449,3170.526096,3087.239648,309.2535986,4751.827729,768.9365724,191.0372932,0
66,2017/10/5,1380147.507,1366035.007,75.03859719,1132258.411,122780.6377,20529.04313,9112.907594,5713.762035,10805.49919,455.3932107,62017.68581,1368.522157,993.1454355,0
67,2017/10/6,1059764.626,1059339.626,24.71249435,875742.8354,120266.1206,33433.91369,10162.65926,1002.303572,1800.978773,5103.356061,10874.03763,893.4798804,59.94124196,0
68,2017/10/7,673262.9583,671500.4583,13.95994119,519424.5248,126936.82,16160.00625,2282.417149,828.6446443,1392.70873,265.4839482,3435.624284,216.9876048,557.2408669,0
69,2017/10/8,1010237.649,1008900.149,32.78175806,859549.8798,80789.77369,21832.39046,4169.259148,5857.713805,12803.98087,13210.69682,10193.60923,221.3371558,271.5081231,0
70,2017/10/9,1445929.946,1444792.446,47.33908546,1186283.473,119332.9769,73567.47875,8258.497461,5722.203296,6325.539999,852.685112,44099.87086,182.7859716,166.9339244,0
71,2017/10/10,932831.4669,931431.4669,23.62640793,789471.1773,97792.33985,16226.02189,8997.199977,3086.170537,4499.124068,788.298194,9889.800128,308.7995265,372.5354195,0
72,2017/10/11,747158.0536,745908.0536,23.64506261,509159.0937,194303.2479,20483.58352,8384.436488,3534.761709,586.6395964,200.4353793,7966.804344,1005.921401,283.1295163,0
73,2017/10/12,1321334.874,1314384.874,8.924472909,1166705.124,93851.47348,34983.85492,7611.089004,4309.125143,2216.768092,2553.142265,880.2675779,1050.577526,223.4512909,0
74,2017/10/13,982588.2916,970975.7916,11.72388525,807033.4792,119588.8059,22628.94469,6512.200634,9040.659189,2444.783443,1534.33334,1232.396427,601.9487538,358.24,0
75,2017/10/14,593064.3928,591889.3928,18.76698234,442991.6617,66019.45566,66554.27198,6088.835787,5166.915148,2865.022018,343.2349045,790.7448774,198.9279307,870.3228117,0
76,2017/10/15,373060.0212,372535.0212,25.33977702,272015.2969,71216.38195,19127.79473,3541.646286,1324.191864,876.2183482,290.1347926,1647.596931,2338.314753,157.4446442,0
77,2017/10/16,715716.8397,715016.8397,35.90092663,519600.5304,146500.5572,22147.88046,5900.841946,2839.253322,5316.750911,2186.006,357.1527998,10140.15483,27.71184379,0
78,2017/10/17,1192312.714,1191925.214,36.49747884,902253.4801,197773.3046,47112.45874,13345.2471,11950.96255,1263.831082,1065.616425,6680.621546,443.7914088,10035.90021,0
79,2017/10/18,1137061.767,1135874.267,7.618269579,979611.2239,122137.0025,21005.22304,4824.530409,3405.88523,1736.098893,894.2279467,1256.144331,380.4956846,623.4354449,0
80,2017/10/19,587015.1138,585577.6138,59.90445177,493904.6412,52615.10455,10424.09576,11727.03221,1509.975426,737.5601234,384.9269114,750.9371535,645.111703,12878.22883,0
81,2017/10/20,778434.3851,776934.3851,22.43687538,657287.9636,62279.69841,19215.05323,7588.250628,2842.77052,25680.92276,634.7996943,430.6284409,172.2795335,802.0183092,0
82,2017/10/21,547128.1355,546190.6355,11.99823153,455685.4922,56861.52019,20182.56436,8165.663125,2062.717309,676.7679663,1083.103164,526.8346613,877.4307621,68.54172445,0
83,2017/10/22,541508.3472,541333.3472,26.85133267,442674.9732,69316.35143,14364.76935,2127.521913,1480.720686,1045.698973,618.4579532,9475.21851,194.2077408,35.42745029,0
84,2017/10/23,562996.7735,561646.7735,21.15631078,409557.484,110643.5376,19108.4544,8257.344418,5580.593593,5191.4431,1052.138878,823.3395685,1272.05248,160.3854631,0
85,2017/10/24,612249.1843,610274.1843,18.99831212,489363.6741,89596.5749,14711.3065,6516.138539,2554.911654,3053.009085,971.4368556,1058.658893,1929.929436,518.5442958,0
86,2017/10/25,576864.5081,574714.5081,45.12121241,395140.9716,122213.1364,35288.26738,3978.935279,1359.323119,7077.232501,513.9910785,1002.460528,3928.997791,4211.192443,0
87,2017/10/26,660757.1977,655769.6977,15.21183251,562902.0885,47694.05208,30032.0206,7738.563211,2698.145481,853.4341595,500.5819615,633.685045,2444.79669,272.33,0
88,2017/10/27,733882.5322,719282.5322,10.50405841,598488.789,73177.83758,34932.68399,5693.028585,3634.757839,1624.071376,361.6492636,754.1616301,491.5712062,123.9817808,0
89,2017/10/28,1291847.851,1276172.851,12.72034525,1107286.447,125941.6356,21916.94703,5198.340267,2339.47025,7210.726895,658.5654981,5326.210372,278.6746542,15.83318247,0
90,2017/10/29,2041573.656,2040411.156,10.06261207,1555410.099,274972.0746,198525.4043,5896.451309,2428.381378,1042.414721,655.9747858,1072.271297,403.8983717,4.18635875,0
91,2017/10/30,2213533.05,2212620.55,5.427462852,2027044.031,142251.1196,27680.25689,3924.013849,3910.305155,3099.87123,796.5313051,1732.635554,2023.791167,157.9947379,0
92,2017/10/31,1091354.939,1090392.439,5.219037761,966454.1256,103376.5991,9470.97594,4629.808587,2044.708914,3119.540878,102.4155841,588.1854647,426.5201101,179.5583143,0
93,2017/11/1,1274774.442,1273774.442,8.803438641,1098972.148,105088.2802,49903.96385,3761.13937,9695.717304,4083.983623,775.5818304,895.4584718,493.2409515,104.9288017,0
94,2017/11/2,1553571.527,1552559.027,7.612750069,1322869.326,145528.1224,61192.39887,13173.34555,4638.07677,2429.870808,1022.131279,1415.897588,262.967583,26.8907352,0
95,2017/11/3,1694862.938,1690425.438,10.05210013,1465811.168,147543.4981,53741.04262,8974.883784,3491.432496,3495.494931,1359.27256,5787.71364,211.2534334,9.67907126,0
96,2017/11/4,766432.8989,762682.8989,8.000293031,625321.3694,117634.119,6443.132399,8264.277021,2086.282171,1019.756262,246.8983068,977.9291382,443.7795166,245.3557108,0
97,2017/11/5,767068.0537,764793.0537,45.71190045,613414.1489,100497.0444,25774.03647,7133.106665,1840.623146,1949.353041,690.5831187,532.9863152,564.9576382,12396.21395,0
98,2017/11/6,1105113.559,1102326.059,5.45519074,940816.8046,133616.2512,10073.14477,11279.76949,4068.308852,1477.046209,293.0071094,423.8690148,132.1941522,145.663379,0
99,2017/11/7,759612.5913,756837.5913,19.77904125,642085.726,87746.42826,7647.254383,5380.652753,2532.563921,3102.723841,1510.499634,6495.364306,148.4285802,187.9497161,0
100,2017/11/8,1391714.425,1388989.425,8.100528388,1208204.892,141487.4614,23243.31631,8542.399341,1819.065035,1946.867083,1425.698051,380.1964482,135.7161011,1803.81345,0
101,2017/11/9,1959153.315,1957390.815,5.143352105,1718397.19,161182.9378,64735.87416,6914.32696,1248.853279,3218.773846,314.97601,872.0892906,462.9640433,42.83035911,0
102,2017/11/10,6695955.206,6690280.206,4.645143984,5966484.359,501310.3973,187319.8833,18450.43658,4124.371577,5472.712002,1215.343265,4157.597645,1349.169551,395.9358253,0
103,2017/11/11,7218059.456,7208759.456,4.090235788,6826429.758,166889.9649,158554.2141,39469.06778,5875.370424,4555.225644,1432.429544,3084.802524,1996.400741,472.2226464,0
104,2017/11/12,6013944.304,6003081.804,9.889672743,5552645.462,271909.0052,79021.24016,31408.52156,5475.481784,48506.2749,2700.165535,5314.039823,3485.778438,2615.835213,0
105,2017/11/13,2707783.276,2707020.776,13.39313379,2360974.271,204156.6285,41688.45625,61581.87943,9328.696531,14275.92235,11947.06581,1305.132128,1624.262511,138.4621226,0
106,2017/11/14,1841253.159,1839553.159,11.32580281,1631299.522,149831.4803,17942.35813,19228.11696,9853.225169,993.5151495,6325.983656,1306.581299,334.0502241,2438.325833,0
107,2017/11/15,2028846.43,2026733.93,6.337772838,1791055.205,165193.7951,50625.60825,11275.82964,1311.631288,2763.857209,592.0254896,1611.728412,1816.299224,487.9500932,0
108,2017/11/16,1902681.846,1901656.846,7.603091521,1697590.118,155616.8103,21950.31163,12418.93416,6191.736351,1890.778219,684.7142966,2123.078589,2669.802529,520.5618753,0
109,2017/11/17,3249886.861,3247936.861,2.402028138,2995701.478,214444.0079,16782.14246,14441.95455,2417.48139,2056.038668,450.3297372,1400.350597,167.6234718,75.45441424,0
110,2017/11/18,2541251.237,2539176.237,4.364322077,2398230.149,105158.8562,4943.558239,18952.23319,2295.207878,4626.261802,3056.610063,512.1020488,763.8530466,637.4060586,0
111,2017/11/19,1951677.414,1950014.914,4.227708434,1778647.275,121242.702,20854.05487,23180.21699,3319.578488,930.9957357,415.6219238,720.9205584,226.0365617,477.5119264,0
112,2017/11/20,1239620.815,1237858.315,15.21853635,1079237.791,109989.6673,20842.13804,6552.330259,6249.335896,8007.550871,1276.162312,1592.079245,3157.973045,953.2868131,0
