,-9,-7,-5,-3,-1,1,3,5,7,9,date,newborn,dead,WALE,11
1408,1028691.114,136106.3709,33829.59825,7027.465649,5813.127669,3297.270714,7860.306015,2201.240856,19.85901091,85.9670056,3/9/2020,1226807.32,1224932.32,13.93086264,0
1409,926529.6605,120492.5389,10232.67628,5398.297936,2245.117633,3122.403364,5471.742971,254.5559947,0.27091202,72.65334742,3/10/2020,1075469.918,1073819.918,8.805993462,0
1410,1296873.337,119102.2986,108475.7869,153319.0121,10136.81288,2162.532852,1774.113957,56.83113764,1.63136715,1171.982371,3/11/2020,1694561.839,1693074.339,22.06417692,0
1411,1892186.959,280469.1368,53840.47863,58709.28592,42804.14337,12336.71862,8310.388137,287.1709198,239.8249763,115.0093387,3/12/2020,2351186.616,2349299.116,16.05514147,0
1412,2017819.527,200256.1801,42441.28088,41121.92527,22052.59867,7914.014341,14864.72595,177.3834154,115.6669894,643.0024516,3/13/2020,2348968.805,2347406.305,14.05042601,0
1413,991312.6846,96628.13206,24168.80602,6138.407047,10624.51307,5746.86148,2688.707373,322.9205697,201.6963727,1503.285751,3/14/2020,1140936.014,1139336.014,12.79021684,0
1414,723296.3526,113423.6076,9722.730414,3774.408345,6873.855466,1792.225051,2121.273005,73.03581888,313.7841876,82.05700248,3/15/2020,862960.8294,861473.3294,8.03985459,0
1415,1290391.249,261487.9431,19024.69692,11589.13594,6861.988309,9917.704003,2555.049412,26.17316606,63.28411864,1275.801286,3/16/2020,1604680.525,1603193.025,10.04531472,0
1416,1246082.315,190255.8799,12631.15309,20060.38489,14289.16869,10528.08936,1143.169242,862.9400241,3.52800077,476.660637,3/17/2020,1497870.789,1496333.289,11.29302729,0
1417,947624.5793,179918.9701,7740.256938,5883.253032,2961.091996,1099.420735,837.8901505,555.0393209,25.57382997,73.22013586,3/18/2020,1147969.296,1146719.296,4.323477706,0
